Period,3 Month T-Bill Rate,Exchange Rate,CCPI SL,US Inflation PI $,US 3 Month T-Bill Rate,Gross Domestic Product,BOP A/C Balance,Unemployment Rate,Gross Reserves,M2b,Stock Market Index (ASPI),Imports,Exports
Jan-00,11.26,72.36,73.6,169.3,5.32,307936.55,0.108695123,7.68,40.12311306,140.35,555.17,45693,27572
Feb-00,11.34,72.83,74.51,170,5.55,287880.01,0.046696583,7.63,41.40134199,150.6,557.02,37662,27709
Mar-00,11.53,73.09,75.08,171,5.69,274822,0.00079425,7.6,41.8807884,160.77,518.63,43936,35990
Apr-00,11.42,73.26,75.94,170.9,5.66,267677.81,-0.029118797,7.59,41.55154701,164.37,489.49,45804,21068
May-00,11.76,73.8,76.58,171.2,5.79,265362.71,-0.045924449,7.59,40.51148479,164.19,458.22,53793,34685
Jun-00,12.21,75.75,79.26,172.2,5.69,266792,-0.054535799,7.6,38.93226758,165.98,485.91,51699,34772
Jul-00,12.38,77.54,79.45,172.7,5.96,270880.95,-0.060820599,7.61,37.01179789,164.64,511.32,46478,43807
Aug-00,12.68,77.54,79.13,172.7,6.09,276544.86,-0.070709568,7.61,34.93387042,163.16,502.11,44642,41374
Sep-00,13.61,77.54,78.01,173.6,6,282699,-0.08977337,7.6,32.84558842,161.87,503.23,45935,37834
Oct-00,15.74,77.54,78.62,173.9,6.11,288543.49,-0.118774257,7.58,30.84724595,160.55,511.58,47312,33487
Nov-00,16.56,78.37,79.06,174.2,6.17,294417.74,-0.140893405,7.57,28.99883095,158.19,476.97,46126,32679
Dec-00,17.77,79.7,82.31,174.6,5.77,300946,-0.136201727,7.6,27.36300147,160.63,443.68,45211,49137
Jan-01,18.79,83.66,85.5,175.6,5.15,308217.48,-0.094730189,7.69,26.0757375,157.87,446.78,47014,27958
Feb-01,20.2,86.98,86.89,176,4.88,314181.16,-0.038817351,7.81,25.51648257,155.62,441.56,39310,39530
Mar-01,19.26,85.81,85,176.1,4.42,316251,0.004757298,7.9,26.09756413,156.1,432.78,51544,41671
Apr-01,18.9,87.88,86.47,176.4,3.87,312800.87,0.018295572,7.93,28.06058873,159.52,419.63,43209,27365
May-01,18.82,90.68,89.03,177.3,3.62,306044.37,0.011779173,7.91,30.79671276,162.82,418.09,53846,37171
Jun-01,19.56,90.44,90.89,177.7,3.49,299155,0.002098165,7.9,33.37581834,165.71,421.98,46220,39508
Jul-01,18.39,90.26,90.07,177.4,3.51,294917.14,0.003745185,7.91,34.96211121,170.36,422.63,43459,40784
Aug-01,16.65,89.93,88.17,177.4,3.36,294558.59,0.015939284,7.92,35.74866489,173.08,399.14,38700,38455
Sep-01,14.31,90.18,89.67,178.1,2.64,298918,0.033103998,7.9,36.24857797,172.6,402.25,41827,37613
Oct-01,13.73,90.85,89.73,177.6,2.16,308188.96,0.048997362,7.84,36.79660512,168.84,458.37,44082,31884
Nov-01,13.39,92.55,90.8,177.5,1.87,319984.85,0.05719193,7.81,36.9994915,166.53,509.68,45413,32051
Dec-01,12.92,93.13,91.21,177.4,1.69,331274,0.052478733,7.9,36.36503672,165.77,604.65,38340,36382
Jan-02,12.88,93.39,93.11,177.7,1.65,339465.14,0.033512228,8.18,34.72525226,191.51,578.03,44224,32041
Feb-02,12.61,93.54,94.29,178,1.73,343728.58,0.011150543,8.53,32.96387459,189.27,582.51,38122,34678
Mar-02,12.7,94.65,94.71,178.5,1.79,343675,-0.001611329,8.8,32.16103981,195.02,615.49,45102,34677
Apr-02,12.78,65.93,93.61,179.3,1.72,339564.14,0.004296554,8.89,33.09214855,169.35,611.37,45748,24105
May-02,13.14,96.16,97.92,179.5,1.73,334251.85,0.02188572,8.86,35.23967382,172.64,643.56,55288,33159
Jun-02,12.83,96.22,100.62,179.6,1.7,331243,0.039277205,8.8,37.67336435,176.41,719.04,44778,32294
Jul-02,10.73,96.13,99.8,180,1.68,333215.99,0.047059937,8.79,39.54281281,177.04,716.39,52208,41281
Aug-02,9.74,96.26,97.06,180.5,1.62,339543.32,0.050169314,8.8,40.83671676,175.63,700.63,44042,54656
Sep-02,9.63,96.17,96.3,180.8,1.63,348771,0.057115186,8.8,41.80908849,172.45,810.01,47134,39289
Oct-02,9.53,96.29,97.05,181.2,1.58,359455.43,0.072166551,8.75,42.64174958,168.42,809.34,55662,39244
Nov-02,8.95,96.5,99.03,181.5,1.23,370194.63,0.085671345,8.73,43.1810176,166.06,806.12,51616,36499
Dec-02,8.67,96.7,101.51,181.8,1.19,379597,0.085922903,8.8,43.21820476,163.99,793.46,60667,47927
Jan-03,8.74,96.77,105.8,182.6,1.17,386334.3,0.066694999,9.01,42.73907305,162.94,817.42,51412,37137
Feb-03,9.11,96.86,105.2,183.6,1.17,389331.77,0.039272797,9.21,42.42307753,163.29,772.62,49115,37597
Mar-03,9.09,96.93,104.2,183.9,1.13,387578,0.018217251,9.2,43.10416411,165.92,722.29,47993,41246
Apr-03,8.75,96.98,104.4,183.2,1.13,380967.02,0.014710105,8.88,45.38727855,170.22,791.91,51849,29659
May-03,8.63,97.21,105.4,182.9,1.07,373014.61,0.026958766,8.42,48.74621826,174.59,844.31,49499,44611
Jun-03,8.39,97.23,105.7,183.1,0.92,368142,0.04944907,8.1,52.2065024,177.92,961.02,48693,40504
Jul-03,8.01,97.14,105.1,183.7,0.9,369695.41,0.075711659,8.1,54.7631496,178.65,1015.07,59867,47932
Aug-03,7.65,96.97,104.9,184.5,0.95,376721.02,0.10078962,8.27,56.11827751,177.52,1069.12,50658,45573
